text_excerpt,category,label
"Como reza el famoso eslogan de cierta cadena de pizzerías a domicilio, ""el secreto está en la masa"". Lo cierto es que una buena pizza debe ser la conjunción equilibrada de masa e ingredientes que la coronan, pero si la base es mala, poco se puede hacer para arreglarla, por mucho que seamos defensores de las falsas pizzas para quitarnos el gusanillo.Y conseguir una masa de pizza perfecta al estilo napolitano no es nada sencillo, y menos trabajando desde nuestra cocina de casa. Todo empieza con al",Alimentación,0
"El satélite NISAR ayudará a saber cómo los cambios en los ecosistemas forestales y de humedales de la Tierra están afectando al ciclo global del carbono e influyendo en el cambio climático global. Una vez lanzado al espacio a principios de 2024, el satélite NISAR ofrecerá información detallada sobre dos tipos de ecosistemas (bosques y humedales) que son vitales para regular de forma natural los gases de efecto invernadero en la atmósfera que están impulsando el cambio climático global. La misión",Astronomía,1
"El artista Okuda San Miguel, que con motivo del Año Nuevo Chino ha desarrollado para El Corte Inglés una intervención en su centro de Castellana con la figura del Dragón como protagonista, asegura que la experiencia “ha sido muy especial” porque es la primera vez que representa un animal mitológico como es el dragón y también que interviene en un espacio de este tipo. Ha destacado que “el hecho de haber tenido total libertad creativa ha sido clave para aceptar este proyecto”, y afirma que, aunqu",Economía,2
"Una semana más,  la sección de novedades de nuestras tiendas favoritas llega cargada con prendas y accesorios que pretenden colarse en tu lista de deseos de nueva temporada. Todavía queda mucho invierno por delante, pero ahora, es el momento perfecto para descubrir qué  tendencias marcarán la pauta los próximos meses de primavera. ¿ Qué nos propone en Massimo Dutti esta semana? Tras revisar las novedades de una de nuestras tiendas de cabecera, hemos seleccionado todas esas propuestas que tendría",Moda,3
"Rehabilitación cardiaca: Actividad física y sexual para personas post-infartadas. Programa educativo.   Marlene M. Maldonado García  Licenciada en Enfermería. Magíster en Ciencias de la Enfermería, Cuidado Crítico. Doctoranda en Enfermería, Salud y Cuidado Humano, Profesora, Asociada e investigadora de la Escuela de Enfermería “Dra. Gladys Román de Cisneros”, Facultad de Ciencias de la Salud, Universidad de Carabobo, Pabellón 12 Campus Bárbula, Naguanagua, Valencia Estado Carabobo. Venezuela.  J",Medicina,4
"Gracias a la integración del Expodrónica Pavilion en el World ATM Congress 2022, el 23 de junio habrá una demostración real del cielo del futuro en el madrileño Aeródromo de Cuatro Vientos. Gracias a la integración del Expodrónica Pavilion en el World ATM Congress 2022, el 23 de junio habrá una demostración real del cielo del futuro en el madrileño Aeródromo de Cuatro Vientos. Gracias a la integración del Expodrónica Pavilion en el World ATM Congress 2022 el 23 de junio habrá una demostración re",Defensa,5
"Tras el anuncio de la salida de Lewis Hamilton de Mercedes, se han barajado posibles nombres para ocupar su asiento, el último ha sido propuesto por el expiloto Giancarlo Fisichella.“Daniel Ricciardo podría ser un buen sustituto de Lewis Hamilton en Mercedes, porque necesitan a un piloto con su experiencia, sería genial para cualquier equipo top, tenerlo a él” dijo el italiano. Cabe recordar que Daniel tiene contrato hasta 2024.El actual piloto de Racing Bulls, cuenta con una contrastada trayect",Motor,6
"Hace tiempo que no sabemos mucho sobre Need for Speed Unbound, la última entrega de la saga de conducción y una de las más carismáticas debido a sus efectos de estilo comiquero. La última noticia relevante fue el diciembre de 2023, cuando sus responsables introdujeron efectos de humo realistas. Fue una de las peticiones más demandadas por parte de los detractores del nuevo estilo.Ahora, Electronic Arts ha revelado en su blog oficial que Need for Speed Unbound tendrá un Año 2 de contenido (median",Entretenimiento,7
"El resultado de las elecciones gallegas es inapelable. Feijóo ganó con contundencia y Sánchez perdió sin paliativos. Menciono a ambos porque, como los duelistas de Joseph Conrad, han decidido que sus citas electorales se conviertan en un continuo lance de honor. Por ello, decidieron que Galicia fuese un test de confianza sobre lo sucedido desde el 23-J. Si ahora Feijóo tuviese 37 diputados y dependiera de Democracia Ourensana para gobernar, el debate sería otro, ¿verdad? Giraría alrededor de su ",Política,8
"Salvatore Cernuzio - Ciudad del VaticanoEn los últimos meses se ha contactado con las instituciones implicadas; también se ha ampliado el ""abanico de la investigación"" a realidades con las que no se había tenido contacto anteriormente; se ha adquirido documentación que ahora se está estudiando. Continúa el trabajo del Dicasterio para la Doctrina de la Fe sobre el caso de Marko Rupnik, el conocido mosaiquista y predicador acusado de abusos psicológicos y sexuales por parte de algunas consagradas ",Religión,9
"Derrotado, pero aún vivo en la eliminatoria, el Atlético salió de San Siro penalizado por un error en el tramo final del partido. Reinildo hizo una mala entrega y el Inter no la desperdició. Suele pasar cuando se pisa cualquier estadio italiano. El tanto reflejó lo que durante muchas fases fue el partido. Un duelo de a ver quién hacía una concesión letal. La hizo el Atlético y perdió. Castigado por ese fallo, necesitará remontar en el Metropolitano el gol de Arnautovic ante un equipo que juega m",Deportes,10
"En noviembre de 2019 Google compraba Fitbit, y aquello disparaba los rumores sobre el desarrollo de un smartwatch 'made by Google'. Aquellas expectativas han tardado en hacerse realidad, pero hoy tenemos con nosotros el nuevo Pixel Watch de Google.Este reloj inteligente llega con un diseño llamativo, pero sus especificaciones son probablemente más modestas de lo que muchos esperaríamos de un dispositivo que quiere ser referente. La pregunta, como indicábamos en su presentación, es si no acabará ",Tecnología,11
